3d transistors,2010,1
3d transistors,2011,5
3d transistors,2012,4
3d transistors,2013,1
3d transistors,2014,2
3d transistors,2015,1
3d transistors,2016,1
Homomorphic encryption,2001,0
Homomorphic encryption,2002,0
Homomorphic encryption,2003,0
Homomorphic encryption,2004,0
Homomorphic encryption,2005,0
Homomorphic encryption,2006,0
Homomorphic encryption,2007,0
Homomorphic encryption,2008,0
Homomorphic encryption,2009,2
Homomorphic encryption,2010,1
Homomorphic encryption,2011,1
Homomorphic encryption,2012,0
Homomorphic encryption,2013,2
Homomorphic encryption,2014,2
Homomorphic encryption,2015,0
Homomorphic encryption,2016,0
Solid-state batteries,2001,0
Solid-state batteries,2002,0
Solid-state batteries,2003,1
Solid-state batteries,2004,0
Solid-state batteries,2005,0
Solid-state batteries,2006,3
Solid-state batteries,2007,1
Solid-state batteries,2008,1
Solid-state batteries,2009,0
Solid-state batteries,2010,6
Solid-state batteries,2011,12
Solid-state batteries,2012,3
Solid-state batteries,2013,6
Solid-state batteries,2014,3
Solid-state batteries,2015,15
Solid-state batteries,2016,9
Social tv,2001,0
Social tv,2002,0
Social tv,2003,0
Social tv,2004,0
Social tv,2005,0
Social tv,2006,1
Social tv,2007,6
Social tv,2008,2
Social tv,2009,14
Social tv,2010,28
Social tv,2011,79
Social tv,2012,157
Social tv,2013,98
Social tv,2014,46
Social tv,2015,22
Social tv,2016,13
Cloud programming,2001,0
Cloud programming,2002,0
Cloud programming,2003,0
Cloud programming,2004,0
Cloud programming,2005,0
Cloud programming,2006,0
Cloud programming,2007,0
Cloud programming,2008,0
Cloud programming,2009,0
Cloud programming,2010,0
Cloud programming,2011,0
Cloud programming,2012,0
Cloud programming,2013,1
Cloud programming,2014,1
Cloud programming,2015,0
Cloud programming,2016,0
Intelligent software assistant,2001,36
Intelligent software assistant,2002,19
Intelligent software assistant,2003,8
Intelligent software assistant,2004,7
Intelligent software assistant,2005,8
Intelligent software assistant,2006,40
Intelligent software assistant,2007,24
Intelligent software assistant,2008,20
Intelligent software assistant,2009,19
Intelligent software assistant,2010,19
Intelligent software assistant,2011,44
Intelligent software assistant,2012,72
Intelligent software assistant,2013,82
Intelligent software assistant,2014,93
Intelligent software assistant,2015,114
Intelligent software assistant,2016,163
Software-defined networking,2001,113
Software-defined networking,2002,76
Software-defined networking,2003,78
Software-defined networking,2004,85
Software-defined networking,2005,81
Software-defined networking,2006,73
Software-defined networking,2007,82
Software-defined networking,2008,106
Software-defined networking,2009,104
Software-defined networking,2010,118
Software-defined networking,2011,144
Software-defined networking,2012,433
Software-defined networking,2013,844
Software-defined networking,2014,971
Software-defined networking,2015,875
Software-defined networking,2016,721
Offline web applications,2001,0
Offline web applications,2002,0
Offline web applications,2003,0
Offline web applications,2004,1
Offline web applications,2005,0
Offline web applications,2006,1
Offline web applications,2007,1
Offline web applications,2008,0
Offline web applications,2009,0
Offline web applications,2010,0
Offline web applications,2011,0
Offline web applications,2012,0
Offline web applications,2013,0
Offline web applications,2014,0
Offline web applications,2015,0
Offline web applications,2016,0
smartphone,2001,137
smartphone,2002,172
smartphone,2003,355
smartphone,2004,509
smartphone,2005,591
smartphone,2006,791
smartphone,2007,963
smartphone,2008,1227
smartphone,2009,2155
smartphone,2010,4762
smartphone,2011,9295
smartphone,2012,12130
smartphone,2013,12977
smartphone,2014,11538
smartphone,2015,10296
smartphone,2016,9637
Probabilistic chips,2001,0
Probabilistic chips,2002,0
Probabilistic chips,2003,0
Probabilistic chips,2004,0
Probabilistic chips,2005,0
Probabilistic chips,2006,0
Probabilistic chips,2007,0
Probabilistic chips,2008,0
Probabilistic chips,2009,0
Probabilistic chips,2010,0
Probabilistic chips,2011,0
Probabilistic chips,2012,0
Probabilistic chips,2013,0
Probabilistic chips,2014,1
Probabilistic chips,2015,0
Probabilistic chips,2016,0
Reality mining,2001,0
Reality mining,2002,0
Reality mining,2003,0
Reality mining,2004,0
Reality mining,2005,0
Reality mining,2006,0
Reality mining,2007,0
Reality mining,2008,1
Reality mining,2009,0
Reality mining,2010,0
Reality mining,2011,0
Reality mining,2012,0
Reality mining,2013,0
Reality mining,2014,1
Reality mining,2015,0
Reality mining,2016,0
Atomic magnetometers,2001,0
Atomic magnetometers,2002,0
Atomic magnetometers,2003,0
Atomic magnetometers,2004,0
Atomic magnetometers,2005,0
Atomic magnetometers,2006,0
Atomic magnetometers,2007,0
Atomic magnetometers,2008,0
Atomic magnetometers,2009,0
Atomic magnetometers,2010,0
Atomic magnetometers,2011,2
Atomic magnetometers,2012,0
Atomic magnetometers,2013,1
Atomic magnetometers,2014,1
Atomic magnetometers,2015,0
Atomic magnetometers,2016,1
Supergrids,2001,0
Supergrids,2002,0
Supergrids,2003,1
Supergrids,2004,0
Supergrids,2005,0
Supergrids,2006,0
Supergrids,2007,0
Supergrids,2008,0
Supergrids,2009,10
Supergrids,2010,5
Supergrids,2011,7
Supergrids,2012,3
Supergrids,2013,4
Supergrids,2014,1
Supergrids,2015,1
Supergrids,2016,3
DVD,2001,3572
DVD,2002,3909
DVD,2003,4919
DVD,2004,7208
DVD,2005,8758
DVD,2006,10085
DVD,2007,9393
DVD,2008,8060
DVD,2009,5590
DVD,2010,5031
DVD,2011,4591
DVD,2012,3790
DVD,2013,3002
DVD,2014,2743
DVD,2015,2198
DVD,2016,1954
Cognitive radio,2001,0
Cognitive radio,2002,2
Cognitive radio,2003,5
Cognitive radio,2004,12
Cognitive radio,2005,9
Cognitive radio,2006,8
Cognitive radio,2007,16
Cognitive radio,2008,12
Cognitive radio,2009,15
Cognitive radio,2010,30
Cognitive radio,2011,31
Cognitive radio,2012,29
Cognitive radio,2013,23
